,Interval,CumulativePlayerPointsInterval,Home,TeamRest,OpponentTeamRest,CumulativeTeamPointsInterval,CumulativeOpponentPointsInterval,ScoreMarginInterval,ScoreMarginxTimeRemainingInterval,ScoreMarginxTimeRemaining2Interval,RollingAvgPlayerPoints,RollingAverageOpposingTeamAllowedPoints,RollingAverageTeamPoints,Player,res,GameId
89208,0,0.0,1,2.0,2.0,0,0,0,0.0,0.0,16.422548474971556,109.85727398552945,116.34461868858791,A. Blakeney - blakean01,3.950905753577197,295
128,1,4.0,1,2.0,2.0,37,22,15,540.0,19440.0,16.422548474971556,109.85727398552945,116.34461868858791,A. Blakeney - blakean01,3.287676254975198,295
22398,2,12.0,1,2.0,2.0,58,60,-2,48.0,1152.0,16.422548474971556,109.85727398552945,116.34461868858791,A. Blakeney - blakean01,3.9036220462530697,295
44668,3,16.0,1,2.0,2.0,80,87,-7,84.0,1008.0,16.422548474971556,109.85727398552945,116.34461868858791,A. Blakeney - blakean01,3.1984464692670564,295
66938,4,22.0,1,2.0,2.0,105,107,-2,0.0,0.0,16.422548474971556,109.85727398552945,116.34461868858791,A. Blakeney - blakean01,2.981036492612836,295
89253,0,0.0,0,3.0,3.0,0,0,0,0.0,0.0,15.916704535642026,110.9621304724552,111.92401429360892,A. Bradley - bradlav01,3.987728184120806,555
173,1,7.0,0,3.0,3.0,33,21,12,432.0,15552.0,15.916704535642026,110.9621304724552,111.92401429360892,A. Bradley - bradlav01,4.588703962621579,555
22443,2,15.0,0,3.0,3.0,62,46,16,384.0,9216.0,15.916704535642026,110.9621304724552,111.92401429360892,A. Bradley - bradlav01,5.724935680511062,555
44713,3,15.0,0,3.0,3.0,90,65,25,300.0,3600.0,15.916704535642026,110.9621304724552,111.92401429360892,A. Bradley - bradlav01,3.2664033386808495,555
66983,4,15.0,0,3.0,3.0,111,78,33,0.0,0.0,15.916704535642026,110.9621304724552,111.92401429360892,A. Bradley - bradlav01,-0.015095566916579015,555
89282,0,0.0,1,2.0,2.0,0,0,0,0.0,0.0,16.37505680346304,113.67800870566757,108.27603406135331,A. Bradley - bradlav01,4.262775588721234,1237
202,1,2.0,1,2.0,2.0,20,20,0,0.0,0.0,16.37505680346304,113.67800870566757,108.27603406135331,A. Bradley - bradlav01,2.59355036938799,1237
22472,2,7.0,1,2.0,2.0,46,46,0,0.0,0.0,16.37505680346304,113.67800870566757,108.27603406135331,A. Bradley - bradlav01,2.140156774340084,1237
44742,3,21.0,1,2.0,2.0,74,75,-1,12.0,144.0,16.37505680346304,113.67800870566757,108.27603406135331,A. Bradley - bradlav01,5.552285505884409,1237
67012,4,23.0,1,2.0,2.0,107,109,-2,0.0,0.0,16.37505680346304,113.67800870566757,108.27603406135331,A. Bradley - bradlav01,3.6981835358519852,1237
89284,0,0.0,1,4.0,4.0,0,0,0,0.0,0.0,16.14081671168776,117.8010824181352,106.87107663804451,A. Bradley - bradlav01,4.392770816261384,1264
204,1,4.0,1,4.0,4.0,23,36,-13,468.0,16848.0,16.14081671168776,117.8010824181352,106.87107663804451,A. Bradley - bradlav01,3.81847560388697,1264
22474,2,4.0,1,4.0,4.0,53,65,-12,288.0,6912.0,16.14081671168776,117.8010824181352,106.87107663804451,A. Bradley - bradlav01,1.3361955995531731,1264
44744,3,17.0,1,4.0,4.0,86,83,3,36.0,432.0,16.14081671168776,117.8010824181352,106.87107663804451,A. Bradley - bradlav01,3.889550065594281,1264
67014,4,17.0,1,4.0,4.0,106,112,-6,0.0,0.0,16.14081671168776,117.8010824181352,106.87107663804451,A. Bradley - bradlav01,1.2618909028771819,1264
89287,0,0.0,1,2.0,2.0,0,0,0,0.0,0.0,16.440336698398426,109.64029761365718,110.1928989811418,A. Bradley - bradlav01,4.014735869951685,1286
207,1,2.0,1,2.0,2.0,26,17,9,324.0,11664.0,16.440336698398426,109.64029761365718,110.1928989811418,A. Bradley - bradlav01,2.484049952897938,1286
22477,2,9.0,1,2.0,2.0,49,48,1,24.0,576.0,16.440336698398426,109.64029761365718,110.1928989811418,A. Bradley - bradlav01,2.7530911896669075,1286
44747,3,14.0,1,2.0,2.0,75,72,3,36.0,432.0,16.440336698398426,109.64029761365718,110.1928989811418,A. Bradley - bradlav01,2.354779382651704,1286
67017,4,21.0,1,2.0,2.0,105,97,8,0.0,0.0,16.440336698398426,109.64029761365718,110.1928989811418,A. Bradley - bradlav01,2.6274851936033987,1286
89288,0,0.0,1,2.0,2.0,0,0,0,0.0,0.0,17.740757571396454,116.82354470575036,112.18402270756926,A. Bradley - bradlav01,4.340789228399016,1295
208,1,6.0,1,2.0,2.0,20,33,-13,468.0,16848.0,17.740757571396454,116.82354470575036,112.18402270756926,A. Bradley - bradlav01,4.65978267492827,1295
22478,2,11.0,1,2.0,2.0,61,63,-2,48.0,1152.0,17.740757571396454,116.82354470575036,112.18402270756926,A. Bradley - bradlav01,3.8291324253273173,1295
44748,3,14.0,1,2.0,2.0,82,86,-4,48.0,576.0,17.740757571396454,116.82354470575036,112.18402270756926,A. Bradley - bradlav01,2.620098622970642,1295
67018,4,14.0,1,2.0,2.0,120,111,9,0.0,0.0,17.740757571396454,116.82354470575036,112.18402270756926,A. Bradley - bradlav01,-0.22500463822210276,1295
89289,0,0.0,1,3.0,3.0,0,0,0,0.0,0.0,16.066837601297454,120.09704535296608,104.30661495706558,A. Bradley - bradlav01,4.614435244348567,1302
209,1,16.0,1,3.0,3.0,33,20,13,468.0,16848.0,16.066837601297454,120.09704535296608,104.30661495706558,A. Bradley - bradlav01,9.09892379875003,1302
22479,2,19.0,1,3.0,3.0,58,57,1,24.0,576.0,16.066837601297454,120.09704535296608,104.30661495706558,A. Bradley - bradlav01,7.535573597850323,1302
44749,3,29.0,1,3.0,3.0,86,94,-8,96.0,1152.0,16.066837601297454,120.09704535296608,104.30661495706558,A. Bradley - bradlav01,9.395883829133076,1302
67019,4,33.0,1,3.0,3.0,107,108,-1,0.0,0.0,16.066837601297454,120.09704535296608,104.30661495706558,A. Bradley - bradlav01,8.340152237817495,1302
89296,0,0.0,0,1.0,1.0,0,0,0,0.0,0.0,19.611136357094683,112.83321862611822,107.6160095290722,A. Bradley - bradlav01,4.140597166492651,1784
216,1,5.0,0,1.0,1.0,28,25,3,108.0,3888.0,19.611136357094683,112.83321862611822,107.6160095290722,A. Bradley - bradlav01,3.7333833388712443,1784
22486,2,7.0,0,1.0,1.0,52,46,6,144.0,3456.0,19.611136357094683,112.83321862611822,107.6160095290722,A. Bradley - bradlav01,2.1786665291824914,1784
44756,3,18.0,0,1.0,1.0,75,67,8,96.0,1152.0,19.611136357094683,112.83321862611822,107.6160095290722,A. Bradley - bradlav01,4.352440145830988,1784
67026,4,27.0,0,1.0,1.0,95,99,-4,0.0,0.0,19.611136357094683,112.83321862611822,107.6160095290722,A. Bradley - bradlav01,5.431190667059255,1784
89307,0,0.0,0,3.0,3.0,0,0,0,0.0,0.0,15.417927421510411,121.2256601148479,122.16267090181046,A. Bradley - bradlav01,4.441956133185438,2580
227,1,9.0,0,3.0,3.0,37,35,2,72.0,2592.0,15.417927421510411,121.2256601148479,122.16267090181046,A. Bradley - bradlav01,5.62075925291816,2580
22497,2,9.0,0,3.0,3.0,71,69,2,48.0,1152.0,15.417927421510411,121.2256601148479,122.16267090181046,A. Bradley - bradlav01,2.9588900876054973,2580
44767,3,18.0,0,3.0,3.0,103,103,0,0.0,0.0,15.417927421510411,121.2256601148479,122.16267090181046,A. Bradley - bradlav01,4.07304259924771,2580
67037,4,21.0,0,3.0,3.0,128,131,-3,0.0,0.0,15.417927421510411,121.2256601148479,122.16267090181046,A. Bradley - bradlav01,2.7701768110864515,2580
89333,0,0.0,0,2.0,2.0,0,0,0,0.0,0.0,15.275165261912136,109.51620533342968,118.52567679431914,A. Burks - burksal01,3.9091479871245047,1159
